scorer,DLC_resnet50_texture_sucroseJun18shuffle1_126000,DLC_resnet50_texture_sucroseJun18shuffle1_126000,DLC_resnet50_texture_sucroseJun18shuffle1_126000,DLC_resnet50_texture_sucroseJun18shuffle1_126000,DLC_resnet50_texture_sucroseJun18shuffle1_126000,DLC_resnet50_texture_sucroseJun18shuffle1_126000,DLC_resnet50_texture_sucroseJun18shuffle1_126000,DLC_resnet50_texture_sucroseJun18shuffle1_126000,DLC_resnet50_texture_sucroseJun18shuffle1_126000,DLC_resnet50_texture_sucroseJun18shuffle1_126000,DLC_resnet50_texture_sucroseJun18shuffle1_126000,DLC_resnet50_texture_sucroseJun18shuffle1_126000,DLC_resnet50_texture_sucroseJun18shuffle1_126000,DLC_resnet50_texture_sucroseJun18shuffle1_126000,DLC_resnet50_texture_sucroseJun18shuffle1_126000
bodyparts,nose,nose,nose,head,head,head,neck,neck,neck,body,body,body,tail,tail,tail
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
37,137.7428436,297.1548462,1,133.7024841,305.6847839,1,134.186554,320.1052856,1,140.4949188,342.3475342,1,157.5447845,368.8095703,1
38,136.2736969,292.0437317,1,132.3198853,300.7763367,1,131.9975128,315.5297852,1,138.6152954,339.7749329,1,152.1851044,367.4793091,1
39,135.9017792,293.227478,1,131.6271362,302.0683594,1,131.154007,315.2382813,1,135.8692169,339.5719299,1,149.1830139,366.724823,1
40,138.4015198,290.9398499,1,133.6089935,300.1498718,1,132.3144226,314.4638977,1,135.2023926,339.4664917,1,149.1845703,367.043396,1
41,138.9104309,287.3842163,1,135.4741211,297.3852234,1,133.8428497,312.3378296,1,135.6297913,338.5905151,1,149.5890656,367.7001648,1
42,138.6632233,284.3301392,1,135.4101105,294.4867554,1,134.1836243,309.6826782,1,136.2185669,336.0315857,1,149.471283,367.2724915,1
43,138.5037994,282.9215698,1,135.1207581,292.7154846,1,134.423584,308.1669312,1,136.9320831,334.5030212,1,149.5233307,366.5985107,1
44,141.3359833,282.2469482,1,136.4443207,291.7137451,1,134.5341644,305.8336487,1,137.1154785,333.4654846,1,149.9224548,365.5414734,1
45,147.038559,283.1243286,1,140.7246857,291.9924011,1,135.5302124,303.8976746,1,136.7757111,332.5971985,1,149.2843323,364.3207397,1
46,151.5600739,283.1404419,1,143.589798,291.4661255,1,137.2947845,301.9515991,1,136.5112152,331.1235352,1,148.269043,363.326355,1
47,156.6070709,281.3522034,1,147.0093842,290.0758667,1,139.2997131,301.0923462,1,135.9332733,330.0132141,1,146.9863129,362.1777344,1
48,158.4963989,279.7501831,1,149.4204102,289.3031311,1,141.2754364,301.1907043,1,137.500946,329.6565857,1,146.3017883,361.4184875,1
49,159.9886169,277.4042358,1,151.0871582,286.2445374,1,142.6024628,300.0627747,1,138.1786652,327.9661255,1,144.7851257,360.5555115,1
50,158.2045746,276.2131348,1,150.3486938,285.7622681,1,143.5740814,298.5388489,1,138.2236481,327.27948,1,145.9118042,359.148468,1
51,156.3118439,275.5309753,1,148.3662415,285.3217468,1,142.1294556,298.5124207,1,138.7040253,327.2457275,1,147.0900421,358.6444397,1
52,155.9398804,274.8709106,1,147.9809113,285.1629028,1,140.5005341,299.7158813,1,138.6619415,327.3705139,1,146.7214508,358.131958,1
53,153.4570007,273.5457153,1,147.0591431,284.882782,1,140.0614471,299.8440857,1,138.8201752,327.5300903,1,146.7514343,358.1495972,1
54,151.7671356,272.4625244,1,145.4179382,284.2072144,1,138.8867645,299.7355652,1,139.2345428,327.8709412,1,146.8338623,358.1167603,1
55,149.7011719,272.8222656,1,144.310791,284.8889771,1,138.2240906,299.8817444,1,139.3378601,327.9854431,1,146.782074,357.7964783,1
